source,word,action
triage-pass-1,jobbed,keep
triage-pass-1,joeys,keep
triage-pass-1,jogs,keep
triage-pass-1,jowls,keep
triage-pass-1,joyfully,keep
triage-pass-1,joystick,keep
triage-pass-1,judo,keep
triage-pass-1,judoka,ditch
triage-pass-1,jugs,keep
triage-pass-1,jujitsu,keep
triage-pass-1,jujutsu,keep
triage-pass-1,junked,keep
triage-pass-1,kaka,ditch
triage-pass-1,kaki,ditch
triage-pass-1,kapok,ditch
triage-pass-1,katzenjammer,ditch
triage-pass-1,keek,ditch
triage-pass-1,keffiyeh,keep
triage-pass-1,kickbacks,keep
triage-pass-1,kickboxing,keep
triage-pass-1,kickoffs,keep
triage-pass-1,kike,ditch
triage-pass-1,killjoy,keep
triage-pass-1,kink,keep
triage-pass-1,knack,keep
triage-pass-1,knockoff,keep
triage-pass-1,kook,keep
triage-pass-1,kvetch,keep
triage-pass-1,kwacha,ditch
triage-pass-1,lazily,keep
triage-pass-1,lymph,keep
triage-pass-1,matchbox,keep
triage-pass-1,maxed,keep
triage-pass-1,miff,keep
triage-pass-1,mikvah,ditch
triage-pass-1,mikveh,ditch
triage-pass-1,mozzarella,keep
triage-pass-1,muck,keep
triage-pass-1,muff,keep
triage-pass-1,nymph,keep
triage-pass-1,oozed,keep
triage-pass-1,oxidizing,keep
triage-pass-1,peck,keep
triage-pass-1,phenix,ditch
triage-pass-1,phew,keep
triage-pass-1,phys,ditch
triage-pass-1,piquancy,keep
triage-pass-1,piqued,keep
triage-pass-1,pock,keep
triage-pass-1,prefix,keep
triage-pass-1,prized,keep
triage-pass-1,psych,keep
triage-pass-1,pukka,ditch
triage-pass-1,quacking,keep
triage-pass-1,quads,keep
triage-pass-1,quaffing,keep
triage-pass-1,quaking,keep
triage-pass-1,quartzite,keep
triage-pass-1,quaver,keep
triage-pass-1,queasy,keep
triage-pass-1,quiches,keep
triage-pass-1,quickfire,keep
triage-pass-1,quids,keep
triage-pass-1,quipped,keep
triage-pass-1,quiver,keep
triage-pass-1,quizmaster,keep
triage-pass-1,rajah,keep
triage-pass-1,razed,keep
triage-pass-1,rhizome,keep
triage-pass-1,scherzo,ditch
triage-pass-1,schmaltz,keep
triage-pass-1,schmooze,keep
triage-pass-1,shaky,keep
triage-pass-1,skiff,keep
triage-pass-1,skyhook,keep
triage-pass-1,skywalk,keep
triage-pass-1,sleazy,keep
triage-pass-1,sphinx,keep
triage-pass-1,squaws,ditch
triage-pass-1,squelch,keep
triage-pass-1,squid,keep
triage-pass-1,squidgy,ditch
triage-pass-1,squirmy,keep
triage-pass-1,squish,keep
triage-pass-1,thuja,ditch
triage-pass-1,thwack,keep
triage-pass-1,tweeze,keep
triage-pass-1,twixt,ditch
triage-pass-1,vampy,ditch
triage-pass-1,varix,ditch
triage-pass-1,vexes,keep
triage-pass-1,vixen,keep
triage-pass-1,vizier,keep
triage-pass-1,waxen,keep
triage-pass-1,waxes,keep
triage-pass-1,waxwing,ditch
triage-pass-1,webby,ditch
triage-pass-1,whacks,keep
